,Weeks on Chart,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Debut Position,LyricPositive,LyricNeutral,LyricNegative,TweetPositive,TweetNeutral,TweetNegative,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 0,Classification
1210,3,FALSE,162595,89,0.563,0.564,10,-7.906,0,0.271,0.114,0.0254,0.304,0.55,154.355,5,27,31,68,0,16,83,0,0,0,0,0,0,0.978037834,0,0,0,0,3
1211,3,TRUE,195720,66,0.529,0.69,2,-7.87,1,0.74,0.161,0,0.498,0.311,170.54,4,21,12,83,3,4,93,2,0.239893794,0.214249849,0,0.098175839,0.096135877,0,0.157464713,0.189631999,0,0,3
1212,3,TRUE,325840,62,0.58,0.768,11,-5.482,1,0.386,0.608,1.05E-06,0.342,0.351,124.719,5,22,4,81,14,0,100,0,0,0.551266432,0,0,0,0.203066364,0.070839204,0,0.171982095,0,3
1213,3,FALSE,167796,74,0.462,0.512,9,-5.443,1,0.0334,0.478,0,0.0993,0.29,114.014,4,82,6,89,4,10,89,0,0.26928103,0.047181979,0,0.484663993,0,0,0,0,0,0.189191118,6
1214,3,FALSE,220653,64,0.661,0.733,0,-2.701,0,0.0433,0.0153,0,0.0982,0.613,143.92,4,65,31,57,11,34,65,0,0,0.529003382,0,0,0,0.459722102,0,0,0,0,6
1215,3,TRUE,204787,66,0.899,0.448,1,-8.789,1,0.0738,0.000692,2.36E-05,0.365,0.302,145.975,4,84,1,94,3,0,100,0,0,0.260782748,0,0,0,0.174476668,0,0.179365724,0.205903694,0.174706087,6
1216,3,TRUE,225573,69,0.711,0.746,1,-4.224,1,0.253,0.0289,0,0.371,0.279,96.024,4,82,5,85,8,3,96,0,0,0.446822494,0.119434118,0,0,0.179148778,0,0,0.251063019,0,6
1217,3,FALSE,201122,77,0.694,0.712,7,-3.923,0,0.046,0.133,0,0.211,0.799,98.022,4,97,1,97,1,4,94,1,0.699832618,0,0,0.024678143,0.228552744,0,0,0.039956551,0,0,5
1218,3,TRUE,246986,76,0.559,0.761,4,-4.041,0,0.0877,0.131,1.60E-06,0.143,0.24,163.898,4,24,8,85,5,3,90,5,0,0.586943984,0,0,0,0.026380952,0,0.21026662,0.170797482,0,3
1219,3,TRUE,223240,65,0.758,0.49,11,-9.877,1,0.139,0.00359,6.61E-06,0.292,0.335,140.116,4,20,8,83,7,40,60,0,0,0.286401749,0,0,0,0.431898385,0,0.160126135,0.114591755,0,3
1220,3,FALSE,153750,91,0.656,0.614,6,-4.973,0,0.102,0.558,0.000862,0.215,0.35,128.038,4,68,8,87,4,17,75,7,0.984202802,0,0,0,0,0,0,0,0,0,4
1221,2,TRUE,331480,67,0.58,0.519,11,-10.653,0,0.251,0.642,0.00116,0.0936,0.242,107.401,4,21,4,82,12,24,66,9,0.054783631,0.360467017,0,0,0,0.10526365,0.232999563,0,0.243959397,0,3
1222,2,FALSE,206013,71,0.624,0.424,1,-8.237,1,0.24,0.284,0,0.173,0.584,76.669,4,48,33,66,0,4,92,3,0.078629404,0,0,0,0,0.487691045,0,0.42606777,0,0,4
1223,2,TRUE,190176,70,0.678,0.648,2,-5.892,1,0.445,0.147,0,0.182,0.635,94.336,4,20,11,77,11,2,94,3,0.040133532,0.344517022,0,0,0,0,0.407727063,0,0.203207925,0,3
1224,2,TRUE,160720,82,0.568,0.764,5,-3.465,0,0.255,0.217,0,0.0931,0.625,179.985,4,100,13,72,13,1,94,4,0,0.444982916,0,0,0,0,0.162675366,0,0.383298993,0,6
1225,2,TRUE,233666,65,0.614,0.686,9,-6.483,0,0.21,0.0105,1.36E-06,0.184,0.645,136.537,4,28,13,68,18,0,83,16,0,0,0.805375338,0,0,0,0.180330262,0,0,0,3
1226,2,FALSE,221106,76,0.456,0.679,8,-5.778,0,0.064,0.596,0.000573,0.129,0.107,92.026,4,26,9,90,0,2,95,2,0,0.129264235,0,0,0,0.85121417,0,0,0,0,3
1227,2,TRUE,217678,60,0.79,0.714,1,-7.86,0,0.202,0.00142,0,0.111,0.559,150.033,5,94,3,91,5,0,100,0,0.053710546,0.681877851,0,0,0.047740612,0,0,0,0.210897475,0,6
1228,2,TRUE,181436,73,0.643,0.77,5,-4.524,0,0.228,0.13,0,0.247,0.863,170.006,4,73,6,59,34,0,100,0,0,0.081186093,0,0,0,0,0,0,0.913214684,0,5
1229,2,TRUE,228437,61,0.636,0.568,1,-8.441,1,0.419,0.0111,0,0.117,0.438,82.495,4,82,4,90,6,5,90,4,0,0,0,0,0,0.60113579,0,0,0.391586423,0,6
1230,2,TRUE,215327,71,0.874,0.647,1,-5.256,1,0.441,0.0382,0,0.215,0.228,154.04,4,100,0,83,16,0,11,88,0,0.780785143,0,0,0,0.091959685,0,0,0.122391686,0,6
1231,2,FALSE,216213,40,0.487,0.853,8,-3.95,1,0.0481,0.106,0,0.168,0.393,111.019,3,21,22,74,3,93,6,0,0,0,0,0,0,0,0,0,0.986757934,0,3
1232,2,TRUE,242266,52,0.696,0.65,11,-6.578,0,0.252,0.123,0,0.21,0.531,137.967,4,93,14,81,3,12,87,0,0.224606156,0,0,0,0,0,0.315618753,0,0,0.450678945,6
1233,2,TRUE,237426,61,0.73,0.747,8,-9.496,0,0.324,0.698,1.63E-05,0.152,0.751,90.039,4,93,16,70,13,10,87,2,0.094713569,0.409161896,0.149235174,0,0,0.065657854,0.042300042,0,0.236445352,0,5
1234,2,FALSE,203506,66,0.598,0.504,9,-9.874,1,0.0731,0.186,0.000221,0.34,0.252,163.954,4,27,10,87,1,18,79,2,0.341749489,0,0,0,0,0,0.644683182,0,0,0,3
1235,2,TRUE,180182,72,0.428,0.403,5,-5.914,0,0.209,0.229,0,0.22,0.133,95.387,5,24,11,84,3,1,98,0,0.040298674,0.433438092,0.427369893,0,0,0,0,0,0.093532935,0,3
1236,2,FALSE,176075,69,0.592,0.571,1,-7.132,1,0.174,0.172,0,0.106,0.424,104.95,4,63,22,75,2,9,78,11,0,0,0,0,0.551738083,0.181259736,0.251518846,0,0,0,6
1237,2,TRUE,338438,74,0.588,0.567,4,-3.738,0,0.0628,0.221,0,0.135,0.113,150.009,4,27,4,93,2,27,72,0,0.350250483,0,0.486478299,0,0,0,0,0.030316764,0.124728531,0,3
